# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             199   N   000018ac   ff5ff06f   000018ae   x17_a7     0000240f
             200   N   000018ae   08851717   000018a2   ---        --------
             205   N   000018a2   0000c791   000018a6   x15_a5     00000000
             206   N   000018a6   00f82023   000018b2   ---        --------
             210   N   000018b2   20230713   000018b6   x14_a4     000028b2
             212   N   000018b6   0000c311   000018ba   x14_a4     00002600
             213   N   000018ba   00008702   000018bc   ---        --------
             214   N   000018bc   34202773   00002600   ---        --------
             217   N   00002600   e65ff06f   00002640   ---        --------
             220   N   00002640   342022f3   00002644   x06_t1     00000002
             221   N   00002644   ec6292e3   00002648   x05_t0     00000002
             222   N   00002648   341022f3   0000264c   ---        --------
             223   N   0000264c   343023f3   00002650   x05_t0     00002414
             224   N   00002650   00038e63   00002654   x07_t2     00000000
             225   N   00002654   0002d303   00002670   ---        --------
             228   N   00002670   da430313   00002674   x06_t1     00002670
             229   N   00002674   04628e63   00002678   x06_t1     00002414
             230   N   00002678   00000317   000026d4   ---        --------
             233   N   000026d4   34129073   000026d8   x05_t0     0000241c
             234   N   000026d8   30200073   000026dc   ---        --------
             236   N   000026dc   00200337   0000241c   ---        --------
             239   N   0000241c   80028293   00002420   x05_t0     00002000
             240   N   00002420   3002b073   00002424   x05_t0     00001800
             241   N   00002424   00001337   00002428   ---        --------
             242   N   00002428   00001337   00002428   ---        --------
             243   N   00002428   80030313   0000242c   x06_t1     00001000
             244   N   0000242c   30032073   00002430   x06_t1     00000800
             245   N   00002430   300023f3   00002434   ---        --------
             246   N   00002434   300023f3   00002434   ---        --------
             247   N   00002434   0053f3b3   00002438   x07_t2     00001880
             248   N   00002438   0e731063   0000243c   x07_t2     00001800
             249   N   0000243c   34415073   0000251c   ---        --------
             252   N   0000251c   000e0593   00002520   ---        --------
             253   N   00002520   00000513   00002524   x11_a1     00000002
             254   N   00002524   00000073   00002528   x10_a0     00000000
             255   E   00002528   00000013   00001880   mstatus    00001800
             255   E   00002528   00000013   00001880   mepc       00002528
             255   E   00002528   00000013   00001880   mcause     0000000b
             255   E   00002528   00000013   00001880   mtval      00000000
             258   N   00001880   000047a1   00001884   x14_a4     0000000b
             259   N   00001884   04f70263   00001886   x15_a5     00000008
             260   N   00001886   000047a5   0000188a   ---        --------
             261   N   0000188a   02f70f63   0000188c   x15_a5     00000009
             262   N   0000188c   000047ad   00001890   ---        --------
             263   N   00001890   02f70c63   00001892   x15_a5     0000000b
             264   N   00001892   47ad0837   000018ca   ---        --------
             268   N   000018ca   08370013   000027e0   ---        --------
             271   N   000027e0   91428293   000027e4   x05_t0     000007e0
             272   N   000027e4   00008282   000027e8   x05_t0     000000f4
             273   N   000027e8   00000013   000000f4   ---        --------
             276   N   000000f4   0000006f   000000f8   ---        --------
             277   N   000000f8   ffffffff   000000f8   ---        --------
